Code,Class,Group,Family,Line,Division
IL2T04LWJ0DC,N78NRUVZ39BF,M5UCQ5BR5LJY,SIKVDMM0QHQ5,FUTNA327ZNUV,DC87FA6BQIYH
KTYWE4B0LU34,ZJMHV5H02X3W,L2B4VPG1MBPO,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
FPT5BJYX5RW4,NYGB2PUQJ5LP,N7NNV0FTNSH9,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
T9Y1EM62X4B4,TB9IMNU33QGG,DOMKV21FQJTH,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
WRLAJV0Q0KYC,KHCRWL471LTY,Z8DRAUJD8Q7H,KH5LB4RXT7U5,VJVKNO258EM3,PK7M1R1DVF67
W86JRJPE62UA,V7QY642XZOW6,ARRXEYM3BMY3,AOJ6JLPEHA3S,WRJ6U6QD49LZ,PK7M1R1DVF67
KM4LO6DOFDOB,G0XA2YTSPNM1,QBZF2KH01YI8,PAPO17XMKCU2,EW9ZJHEMW0FD,DC87FA6BQIYH
G39PRVJU0AMJ,SM037N376DIC,WXVMAML85WAI,SBKNRYNH22J3,E3VFW1C1XUPN,PK7M1R1DVF67
ALRX9ZW6VMXI,G9VVEJVRSAUG,ZBVW7NI5KNOH,Q1LRBZYQJDEX,E3VFW1C1XUPN,PK7M1R1DVF67
MROSZL0FT3TG,LYRWYFFB1KU4,KK2YIZ9RE9XP,GO30V8PE9OFP,A2K52PJUSS3Y,DC87FA6BQIYH
JXJWY5565OPW,T8V42XXN2CJ7,W2X29CJ5W413,PHGOPMPUOSUB,Y6WY9T8G4HH9,PK7M1R1DVF67
CUJGPV5PY89J,YMOQI7CE6K6P,TIUPRV38D83G,G1HWH7O38GAE,WRJ6U6QD49LZ,PK7M1R1DVF67
CX5KQR8N90JG,M48RESPPVK5X,SI36TETW77SJ,WXENVMGWN3AB,WRJ6U6QD49LZ,PK7M1R1DVF67
INK7DBJTJAS4,V4ATPYSDVJX0,FVL3JF9U2ILE,BAOPO47XGB3R,EW9ZJHEMW0FD,DC87FA6BQIYH
GQKFFODZOJZF,LRCR9T2BQNAN,FUVN6OGUIJHK,BV6C8VDWDQ5Y,FUTNA327ZNUV,DC87FA6BQIYH
F85W268D806Z,QOS5KK4E05ZY,XYC53MAN6S0P,NDJXN9YOQZTF,A2K52PJUSS3Y,DC87FA6BQIYH
KM4443DOYI7S,RM8DH5FLRYNQ,IUOZDRD77QBY,G1B5YO0S3JTI,Y6WY9T8G4HH9,PK7M1R1DVF67
VE39WQLM0VI4,YX4EF3I7BN5I,HE312NG74E4K,RK6VXDKNCAXK,VJVKNO258EM3,PK7M1R1DVF67
B3AN9VBGV2U4,DW9O0BYPZT8J,G9TC2YC060A3,I8A7OESNZYED,VJVKNO258EM3,PK7M1R1DVF67
GZ7L78J7DF9T,QF0AVAPLR89I,MYP5658YCHNT,NBTMLGUYDKS6,WRJ6U6QD49LZ,PK7M1R1DVF67
ZGR4SFUITSCL,P0CGMPXNRQH3,YDBAO29CBDS7,SIKVDMM0QHQ5,FUTNA327ZNUV,DC87FA6BQIYH
S2ANIKTBLFHY,JKKA9595J5MU,L62OFD3MA893,SIKVDMM0QHQ5,FUTNA327ZNUV,DC87FA6BQIYH
OFCTWZVKH18T,UGIR5SMIHV0N,VS8ROCBRRWDT,SIKVDMM0QHQ5,FUTNA327ZNUV,DC87FA6BQIYH
GK9Q8TVY4PBB,FV056QYXUK9G,AIRN2U9GJHES,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
SNILUAPITH02,ZPL68DJSKKZB,IMMK4UFTFJHS,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
E8H0D4Y49VTT,XCEBTPIMNBN5,T4HVKU3B3CJU,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
KLI4BSBGYAD9,GRK91DS2GKD3,UEIRHYBJV0NC,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
R4KLIGU0CIKQ,JTUZRLU385TI,P3IEEOGDJI96,LVYKOZ6TB653,E3VFW1C1XUPN,PK7M1R1DVF67
S2331LR5TER1,WVQFLLMEWPED,D01BC6INOG0S,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
TOPS4G91BK6S,CHLOS0QPR1TO,QUES3KYNMF64,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
C5PR9PHCJP13,E9MS7KBQ50SN,Y9X20NLUTAUS,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
UEKHW02GV59O,L58ZQCOGC530,HLC5EBNFNN1M,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
DUQB85TYDN00,PLI2CTUA9NAR,APBWKP2T581M,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
HPS7PTD4QPL8,WBGKEUONORU9,WMXKKCS36CKH,B4G76B8RJTG1,A2K52PJUSS3Y,DC87FA6BQIYH
GIJON1I689NE,U345OJUODTBG,JNUMQ9XEJ85M,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
HH14TYCEEAJH,NTV5U9EPVCZC,RKT1W7KJMPC7,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
KW8SRNPDCLA8,BSASJQ5QFI3R,OOCOEKYKL3RM,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
RDGTMIM7U5YN,VO9LQBI3W2FF,T5WWU49ANHG7,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
SOGSRBK461C9,EO4QFOOICKXS,BGDCR0UL47DX,U613S4PXRER5,Y6WY9T8G4HH9,PK7M1R1DVF67
EMTL4QI6Y0AY,B3P4A1R0EKB9,HJ0LR0WFVNWF,KH5LB4RXT7U5,VJVKNO258EM3,PK7M1R1DVF67
BOIVV732O1YT,P5A30L5OB7VQ,JYXAXIKTT3VT,KH5LB4RXT7U5,VJVKNO258EM3,PK7M1R1DVF67
RSX2UCEUUKX3,XWO87EBAL0Q9,JGX0UFVZ0DRF,KH5LB4RXT7U5,VJVKNO258EM3,PK7M1R1DVF67
GPILUALXIQO1,B0KJOZT2O58C,VQ4JCZCG176P,AOJ6JLPEHA3S,WRJ6U6QD49LZ,PK7M1R1DVF67
