Store,Code,Inv9501,Inv9502,Inv9503,Inv9504,Inv9505,Inv9506,Inv9507,Inv9508,Inv9509,Inv9510,Inv9511,Inv9512,Inv9601,Inv9602,Inv9603,Inv9604,Inv9605
BDYNES61J9EC,MB0ACM9CPW68,6,3,12,2,3,6,6,4,4,3,6,3,12,4,12,3,4
BDYNES61J9EC,HHOD445SUJIL,1,1,1,1,1,5,2,1,2,5,1,5,1,5,2,5,1
BDYNES61J9EC,G4J4EGIFT6PI,4,9,9,4,4,4,2,1,1,4,1,2,1,9,1,1,9
BDYNES61J9EC,SZZJSHBRNM9J,4,4,4,6,4,3,19,9,6,19,19,6,19,9,19,3,6
BDYNES61J9EC,N6IH9U3W7RDF,3,7,3,1,2,7,1,2,1,1,1,1,1,3,1,1,1
BDYNES61J9EC,FKEMI4EW3NTC,1,1,4,1,1,4,1,2,1,2,4,0,1,1,0,4,2
BDYNES61J9EC,T6Y2FL13BP8Y,3,15,15,3,3,3,3,3,15,5,15,3,7,15,15,15,7
BDYNES61J9EC,DEAXV8GW4WWT,15,3,15,5,5,5,3,3,15,3,15,15,7,3,15,7,5
BDYNES61J9EC,QG1K2UM4NALT,2,4,8,1,8,2,1,2,4,8,8,2,4,1,1,2,4
BDYNES61J9EC,D5H4HT6A889C,11,2,2,2,5,2,2,3,2,2,3,5,2,2,11,2,2
BDYNES61J9EC,PCK2AV692AD7,1,5,1,1,1,1,1,1,1,1,1,5,5,2,1,1,2
BDYNES61J9EC,AF2CTQY7R3XR,1,1,2,1,1,2,1,5,1,1,1,1,1,2,1,1,2
BDYNES61J9EC,NCZVFSWC60JU,3,1,3,6,6,6,6,1,3,1,2,1,2,3,6,1,1
BDYNES61J9EC,PM7S489QYBIN,3,15,3,3,3,15,7,3,7,3,15,15,15,5,7,15,7
BDYNES61J9EC,HPNTXTYEX7DM,0,1,2,1,1,1,1,4,4,2,0,0,1,1,1,1,0
BDYNES61J9EC,V5G9YPG1AHJQ,19,6,6,19,6,6,9,6,6,6,4,19,3,4,19,3,3
BDYNES61J9EC,TQV5G61FRF9K,3,5,15,7,3,5,5,5,3,3,15,5,15,3,3,5,3
BDYNES61J9EC,HIOPX4OK8LNU,9,3,9,6,6,6,3,18,18,3,6,4,18,9,4,9,6
BDYNES61J9EC,NA178YL0OBI2,4,7,7,10,21,21,21,10,7,21,10,21,7,7,21,21,10
BDYNES61J9EC,FCKQF56K8B23,9,18,9,6,18,6,9,4,9,9,6,3,6,6,18,6,4
BDYNES61J9EC,CRZQGMJM7FWL,5,11,2,2,3,3,11,5,5,5,11,3,2,11,2,3,3
BDYNES61J9EC,IORH8VFM7F9M,2,4,7,4,3,14,14,2,3,3,4,7,4,4,3,7,3
BDYNES61J9EC,XTRDD7IC9C6D,2,6,3,4,4,2,12,12,12,4,2,6,12,6,6,6,6
BDYNES61J9EC,WYKK6XXSAYPL,3,3,1,4,3,2,4,2,3,9,9,4,4,1,4,4,4
BDYNES61J9EC,RKI7Z09SVVZY,3,12,4,4,3,6,4,6,4,6,12,4,2,4,2,2,12
BDYNES61J9EC,ELX9IH9PMZTC,2,1,0,2,1,4,2,0,1,2,1,2,1,1,1,2,4
BDYNES61J9EC,LSRNT4HFTCZT,1,5,2,2,1,5,5,1,1,1,5,1,2,1,1,5,1
V4GP8FRWXQHI,SBQ3EN2N79C0,6,10,6,10,4,20,10,5,5,6,6,5,4,5,20,10,20
V4GP8FRWXQHI,J8XK9RVWY73R,2,4,4,4,4,14,2,7,2,3,14,14,2,2,3,4,7
V4GP8FRWXQHI,FTYZPKYK347H,7,22,4,5,22,22,5,7,7,7,11,5,4,11,7,5,11
V4GP8FRWXQHI,EEWM7KT8AKD3,5,3,4,4,3,3,5,16,4,5,3,5,8,4,3,8,16
V4GP8FRWXQHI,GMB80NYNHT10,6,13,13,13,13,2,13,6,6,2,4,2,3,3,3,2,6
V4GP8FRWXQHI,NU0DHX637UDE,4,4,4,4,4,14,4,2,7,2,3,4,7,4,14,14,7
V4GP8FRWXQHI,MQHMC4LB3P3E,2,4,2,2,1,2,1,2,8,2,1,8,8,8,4,2,2
V4GP8FRWXQHI,F3ZPB2MUH576,1,2,3,1,3,7,1,7,1,7,7,1,2,7,2,3,1
V4GP8FRWXQHI,PRTLPUECIKX9,6,3,1,1,2,6,3,1,3,2,2,1,3,2,6,1,6
V4GP8FRWXQHI,ZDCDVYVXKL27,2,2,2,2,2,2,4,4,2,8,8,4,2,1,8,2,2
V4GP8FRWXQHI,TBVNAYRVZNBZ,14,4,4,7,2,7,4,2,7,4,7,4,4,3,7,2,14
V4GP8FRWXQHI,PWUWTRVDKO9P,2,2,2,2,5,3,10,2,3,2,3,10,2,2,10,5,2
V4GP8FRWXQHI,X3HXVYQ8AVZS,9,3,18,3,18,4,9,18,18,6,4,6,4,4,4,6,18
V4GP8FRWXQHI,OW4HH0LZAAQR,2,8,4,4,8,8,1,4,8,2,2,1,2,8,2,2,1
V4GP8FRWXQHI,HF2P1PS6FM8J,3,7,5,15,5,7,3,3,5,15,7,15,7,15,15,5,15
V4GP8FRWXQHI,H85ZADLWWLKM,5,2,2,2,5,11,5,5,2,5,2,5,3,3,5,5,3
V4GP8FRWXQHI,ABCQYM6W6N6E,3,3,3,3,15,3,3,7,3,3,5,5,3,3,3,7,3
V4GP8FRWXQHI,GA84UR5B8C9Q,5,1,1,1,5,1,5,2,1,1,1,1,1,5,5,1,2
V4GP8FRWXQHI,FETQ7TTW4L5U,1,6,3,1,3,1,6,2,1,6,2,2,1,2,1,1,1
V4GP8FRWXQHI,AUVABL5YH9V5,5,8,4,17,17,4,3,3,8,8,17,8,8,3,4,3,5
V4GP8FRWXQHI,T7051B77J0TY,3,1,1,1,2,7,2,2,1,3,1,7,3,1,1,1,1
V4GP8FRWXQHI,HRKOXNMOTBX1,1,2,5,5,1,1,2,2,1,2,1,2,1,5,1,5,1
V4GP8FRWXQHI,TS6U52BHGZ7H,5,3,7,5,5,3,5,3,7,3,15,7,3,3,7,3,7
V4GP8FRWXQHI,XTG1KVNO1M47,4,4,6,3,13,2,3,13,3,6,4,6,6,13,2,6,3
V4GP8FRWXQHI,ECGS7VBVFZJV,6,2,2,2,6,3,4,12,3,12,2,6,3,6,2,2,12
V4GP8FRWXQHI,PJEJS5802EFK,4,4,4,3,3,1,3,9,2,4,1,9,9,3,9,1,9
V4GP8FRWXQHI,IZD2L4QP92IK,2,2,5,5,2,5,3,2,10,5,2,3,10,2,2,2,10
FJ7STCUQ888K,IXPOLWXQAY0C,1,6,1,2,1,2,1,6,2,1,2,1,1,6,1,1,6
FJ7STCUQ888K,OQCX2YBHOY7H,4,10,7,10,10,21,4,7,7,7,10,10,7,7,5,5,5
FJ7STCUQ888K,X87K8ZRUYGLF,5,8,4,8,3,5,4,8,8,17,17,8,3,3,17,8,17
FJ7STCUQ888K,D0RQJ4X4VZSU,11,22,7,4,4,11,22,7,7,4,5,11,4,7,4,5,4
FJ7STCUQ888K,XB4RXBJC99EW,3,7,3,3,2,1,7,3,3,1,7,2,1,1,7,1,2
FJ7STCUQ888K,BGGQDB2P0M9O,5,1,2,1,1,1,1,1,5,1,2,2,5,2,1,1,5
FJ7STCUQ888K,NRP61AZMVQ7E,15,3,3,15,3,15,3,3,3,3,3,5,3,15,3,5,3
FJ7STCUQ888K,E5WBQ557HZGQ,4,3,6,4,6,3,3,4,6,6,9,6,3,9,9,3,3
FJ7STCUQ888K,SOV6OJI45QK0,2,1,1,3,1,1,3,1,2,3,2,1,1,1,1,6,1
FJ7STCUQ888K,N6AQCQ5OK4FH,2,3,5,2,3,5,3,11,3,11,2,3,5,2,11,11,3
FJ7STCUQ888K,RC8MCL1SWFDG,7,7,2,7,4,14,3,14,3,2,7,3,3,2,2,4,14
FJ7STCUQ888K,ZJD4WQPN8E5A,1,2,3,3,1,1,1,3,7,3,7,3,2,1,1,2,1
FJ7STCUQ888K,V9ZZ7DJ9CBR1,1,2,4,1,1,0,0,2,0,4,2,0,1,4,4,2,1
FJ7STCUQ888K,K3G08AH8GN6V,15,3,5,3,7,15,7,3,3,5,3,15,3,7,5,3,5
FJ7STCUQ888K,IYKJ5841RAF4,13,2,3,13,6,2,2,2,3,4,4,3,13,6,13,2,3
FJ7STCUQ888K,NWQLC2ERJ4IN,6,6,9,9,9,9,18,18,9,18,6,6,18,9,18,4,6
FJ7STCUQ888K,NLV92WRS0SSA,10,3,2,3,5,3,3,5,3,3,10,2,2,3,10,2,10
FJ7STCUQ888K,HR8G47UXUB6U,7,1,7,7,2,3,1,2,1,7,1,2,7,1,7,3,2
FJ7STCUQ888K,OLP3969U6V56,4,3,12,12,12,2,2,2,3,2,2,12,4,3,12,4,6
FJ7STCUQ888K,BGZKNNDN4NB0,3,1,1,0,1,1,1,1,1,0,0,3,1,1,1,1,1
FJ7STCUQ888K,SWBJGMGVSCJ2,3,3,2,4,12,3,6,3,3,2,4,12,3,6,12,12,4
FJ7STCUQ888K,DYCUUJSWYJDC,3,1,3,1,3,3,3,1,1,6,6,6,1,1,1,1,1
FJ7STCUQ888K,W3WWMCEE8FIT,3,2,2,1,1,6,1,1,1,1,6,3,3,1,1,2,2
FJ7STCUQ888K,HW85H9IEXQHM,1,1,1,5,5,1,1,1,1,1,1,1,5,2,5,2,1
FJ7STCUQ888K,F4EUEHJXW6DE,4,2,1,2,1,1,2,2,2,2,8,8,2,2,8,2,8
FJ7STCUQ888K,XPKKDAKCEF4E,4,19,6,6,6,19,3,4,9,3,19,3,6,9,19,3,9
FJ7STCUQ888K,L9WD1IB3M68Q,8,16,5,3,3,8,4,8,8,5,4,5,4,8,8,16,3
A6WSPAJP08S6,CPKB6NGK83QL,4,3,14,7,2,7,7,14,7,14,2,14,3,7,2,7,7
A6WSPAJP08S6,LOBMG3ECLS3R,3,17,3,5,3,17,17,5,5,4,17,17,4,8,3,3,17
A6WSPAJP08S6,ZH3QKGA3EXV0,2,3,3,3,5,5,5,3,5,5,2,5,2,2,2,10,3
A6WSPAJP08S6,FKK412MZNKKZ,2,2,2,12,6,2,6,3,3,4,4,2,12,4,12,3,3
A6WSPAJP08S6,BX170KO0TQKO,9,18,9,6,4,18,4,6,18,4,3,6,6,3,3,3,6
A6WSPAJP08S6,ZUNFMHUNR1ZV,3,2,10,10,2,2,2,2,5,2,10,2,2,5,5,2,5
A6WSPAJP08S6,N8GBFZUKUPND,13,2,4,13,4,4,13,3,6,3,2,13,3,4,3,3,4
