Store,ScenarioLevel,Year,Month,StandardShippingCost
BDYNES61J9EC,Actual,1995,01,8.000
BDYNES61J9EC,Actual,1995,02,7.440
BDYNES61J9EC,Actual,1995,03,8.480
BDYNES61J9EC,Actual,1995,04,8.160
BDYNES61J9EC,Actual,1995,05,8.000
BDYNES61J9EC,Actual,1995,06,7.200
BDYNES61J9EC,Actual,1995,07,8.240
BDYNES61J9EC,Actual,1995,08,8.560
BDYNES61J9EC,Actual,1995,09,8.720
BDYNES61J9EC,Actual,1995,10,7.280
BDYNES61J9EC,Actual,1995,11,8.000
BDYNES61J9EC,Actual,1995,12,8.560
BDYNES61J9EC,Actual,1996,01,8.320
BDYNES61J9EC,Actual,1996,02,8.160
BDYNES61J9EC,Actual,1996,03,7.680
BDYNES61J9EC,Actual,1996,04,7.920
BDYNES61J9EC,Actual,1996,05,8.400
BDYNES61J9EC,Actual,1996,06,8.640
BDYNES61J9EC,Budget,1996,01,7.400
BDYNES61J9EC,Budget,1996,02,7.400
BDYNES61J9EC,Budget,1996,03,8.400
BDYNES61J9EC,Budget,1996,04,9.400
BDYNES61J9EC,Budget,1996,05,9.400
BDYNES61J9EC,Budget,1996,06,9.400
BDYNES61J9EC,Budget,1996,07,7.400
BDYNES61J9EC,Budget,1996,08,7.400
BDYNES61J9EC,Budget,1996,09,7.400
BDYNES61J9EC,Budget,1996,10,7.400
BDYNES61J9EC,Budget,1996,11,9.400
BDYNES61J9EC,Budget,1996,12,7.400
V4GP8FRWXQHI,Actual,1995,01,8.080
V4GP8FRWXQHI,Actual,1995,02,8.080
V4GP8FRWXQHI,Actual,1995,03,7.520
V4GP8FRWXQHI,Actual,1995,04,8.240
V4GP8FRWXQHI,Actual,1995,05,8.560
V4GP8FRWXQHI,Actual,1995,06,8.400
V4GP8FRWXQHI,Actual,1995,07,7.600
V4GP8FRWXQHI,Actual,1995,08,7.920
V4GP8FRWXQHI,Actual,1995,09,8.400
V4GP8FRWXQHI,Actual,1995,10,7.760
V4GP8FRWXQHI,Actual,1995,11,7.600
V4GP8FRWXQHI,Actual,1995,12,7.920
V4GP8FRWXQHI,Actual,1996,01,8.000
V4GP8FRWXQHI,Actual,1996,02,7.760
V4GP8FRWXQHI,Actual,1996,03,8.160
V4GP8FRWXQHI,Actual,1996,04,7.520
V4GP8FRWXQHI,Actual,1996,05,8.800
V4GP8FRWXQHI,Actual,1996,06,8.000
V4GP8FRWXQHI,Budget,1996,01,8.400
V4GP8FRWXQHI,Budget,1996,02,7.400
V4GP8FRWXQHI,Budget,1996,03,9.400
V4GP8FRWXQHI,Budget,1996,04,9.400
V4GP8FRWXQHI,Budget,1996,05,9.400
V4GP8FRWXQHI,Budget,1996,06,8.400
V4GP8FRWXQHI,Budget,1996,07,8.400
